omega:	Tc:
0.60190095	0.908914615
0.605852926	0.904123646
0.609804902	0.899362799
0.613756878	0.894643955
0.617708854	0.889978513
0.62166083	0.885377374
0.625612806	0.880850939
0.629564782	0.876409098
0.633516758	0.872061237
0.637468734	0.867816231
0.64142071	0.863682462
0.645372686	0.859667814
0.649324662	0.855779693
0.653276638	0.852025033
0.657228614	0.84841031
0.66118059	0.84494156
0.665132566	0.841624388
0.669084542	0.838463987
0.673036518	0.835465157
0.676988494	0.832632315
0.68094047	0.829969512
0.684892446	0.827480456
0.688844422	0.825168515
0.692796398	0.823036745
0.696748374	0.821087892
0.70070035	0.819324413
0.704652326	0.817748486
0.708604302	0.816362021
0.712556278	0.81516667
0.716508254	0.814163835
0.72046023	0.813354679
0.724412206	0.812740131
0.728364182	0.812320891
0.732316158	0.812097433
0.736268134	0.812070011
0.74022011	0.812238658
0.744172086	0.812603188
0.748124062	0.813163191
0.752076038	0.813918037
0.756028014	0.814866866
0.75997999	0.816008587
0.763931966	0.817341868
0.767883942	0.818865132
0.771835918	0.820576548
0.775787894	0.822474019
0.77973987	0.82455517
0.783691846	0.826817341
0.787643822	0.829257568
0.791595798	0.831872575
0.795547774	0.834658755
0.79949975	0.837612157
0.803451726	0.840728468
0.807403702	0.844003002
0.811355678	0.847430679
0.815307654	0.851006011
0.81925963	0.854723086
0.823211606	0.858575551
0.827163582	0.862556602
0.831115558	0.866658966
0.835067534	0.87087489
0.83901951	0.875196131
0.842971486	0.879613948
0.846923462	0.884119095
0.850875438	0.888701815
0.854827414	0.893351846
0.85877939	0.898058417
0.862731366	0.902810258
0.866683342	0.907595612
0.870635318	0.912402247
0.874587294	0.917217481
0.87853927	0.922028203
0.882491246	0.926820905
0.886443222	0.931581723
0.890395198	0.936296473
0.894347174	0.940950702
0.89829915	0.945529743
0.902251126	0.950018773
0.906203102	0.954402879
0.910155078	0.958667131
0.914107054	0.962796653
0.91805903	0.966776707
0.922011006	0.970592774
0.925962981	0.974230644
0.929914957	0.9776765
0.933866933	0.980917016
0.937818909	0.983939439
0.941770885	0.986731685
0.945722861	0.989282427
0.949674837	0.991581175
0.953626813	0.99361836
0.957578789	0.995385413
0.961530765	0.996874827
0.965482741	0.998080221
0.969434717	0.998996397
0.973386693	0.999619379
0.977338669	0.999946449
0.981290645	0.999976167
0.985242621	0.99970839
0.989194597	0.999144266
0.993146573	0.998286231
0.997098549	0.997137981
1.001050525	0.995704448
1.005002501	0.993991751
1.008954477	0.992007153
1.012906453	0.989758994
1.016858429	0.987256629
1.020810405	0.98451035
1.024762381	0.98153131
1.028714357	0.978331437
1.032666333	0.974923345
1.036618309	0.971320249
1.040570285	0.967535868
1.044522261	0.96358434
1.048474237	0.959480131
1.052426213	0.955237945
1.056378189	0.950872642
1.060330165	0.946399156
1.064282141	0.941832421
1.068234117	0.937187292
1.072186093	0.932478488
1.076138069	0.927720522
1.080090045	0.922927653
1.084042021	0.918113829
1.087993997	0.913292651
1.091945973	0.908477329
1.095897949	0.903680652
1.099849925	0.898914963
1.103801901	0.894192134
1.107753877	0.889523554
1.111705853	0.884920112
1.115657829	0.880392192
1.119609805	0.87594967
1.123561781	0.871601913
1.127513757	0.86735778
1.131465733	0.86322563
1.135417709	0.859213331
1.139369685	0.855328266
1.143321661	0.851577349
1.147273637	0.847967036
1.151225613	0.844503342
1.155177589	0.841191852
1.159129565	0.838037739
1.163081541	0.835045783
1.167033517	0.832220381
1.170985493	0.829565567
1.174937469	0.827085029
1.178889445	0.82478212
1.182841421	0.822659875
1.186793397	0.820721027
1.190745373	0.818968017
1.194697349	0.817403006
1.198649325	0.81602789
1.202601301	0.814844307
1.206553277	0.813853647
1.210505253	0.813057058
1.214457229	0.812455456
1.218409205	0.812049529
1.222361181	0.811839739
1.226313157	0.811826327
1.230265133	0.812009315
1.234217109	0.812388503
1.238169085	0.812963471
1.242121061	0.813733574
1.246073037	0.814697941
1.250025013	0.815855465
1.253976988	0.817204802
1.257928964	0.81874436
1.26188094	0.820472291
1.265832916	0.822386481
1.269784892	0.824484537
1.273736868	0.82676378
1.277688844	0.829221225
1.28164082	0.831853573
1.285592796	0.834657192
1.289544772	0.837628104
1.293496748	0.840761969
1.297448724	0.844054069
1.3014007	0.84749929
1.305352676	0.851092108
1.309304652	0.854826572
1.313256628	0.858696289
1.317208604	0.862694409
1.32116058	0.866813611
1.325112556	0.871046091
1.329064532	0.875383553
1.333016508	0.879817198
1.336968484	0.884337718
1.34092046	0.888935295
1.344872436	0.893599598
1.348824412	0.898319787
1.352776388	0.903084519
1.356728364	0.907881962
1.36068034	0.912699808
1.364632316	0.917525293
1.368584292	0.922345226
1.372536268	0.927146018
1.376488244	0.931913721
1.38044022	0.936634068
1.384392196	0.941292526
1.388344172	0.945874345
1.392296148	0.950364625
1.396248124	0.954748378
1.4002001	0.959010599
1.404152076	0.963136348
1.408104052	0.967110824
1.412056028	0.970919453
1.416008004	0.974547977
1.41995998	0.977982542
1.423911956	0.981209788
